N	MC est. error	MC actual error	Value
331	2.055262E-001	1.754813E-002	3.066504244
334	2.335853E-001	2.885347E-001	3.372587081
337	2.234734E-001	1.708280E-001	3.254880392
340	2.101350E-001	1.087136E-001	2.975338728
344	2.162769E-001	2.624882E-001	3.346540531
347	2.212217E-001	2.928388E-001	3.376891132
350	2.133269E-001	1.178902E-002	3.095841400
353	1.862549E-001	4.143341E-001	2.669718318
356	1.887231E-001	3.789065E-001	2.705145884
360	2.052727E-001	4.540699E-002	3.038645389
363	1.881091E-001	1.149410E-001	2.969111343
366	2.037758E-001	2.771906E-001	2.806861819
370	1.976352E-001	9.499999E-002	2.989052384
373	2.035923E-001	9.890692E-002	3.182959292
377	2.174771E-001	3.772094E-001	3.461261788
380	2.115436E-001	3.515482E-001	3.435600547
384	2.030878E-001	2.938813E-001	3.377933673
387	1.879331E-001	2.339900E-002	3.060653377
391	1.977362E-001	1.029305E-001	2.981121922
394	2.023456E-001	2.051390E-001	3.289191412
398	1.890475E-001	2.627448E-001	2.821307531
402	2.110325E-001	1.453195E-001	3.229371852
406	1.998645E-001	3.043298E-002	3.114485360
409	2.069283E-001	2.116694E-001	3.295721743
413	2.003856E-001	2.958860E-001	3.379938418
417	2.111641E-001	4.601511E-001	3.544203436
421	1.974468E-001	2.745705E-001	3.358622900
425	1.997700E-001	8.842212E-002	3.172474496
429	1.830535E-001	5.209849E-002	3.031953885
433	1.752931E-001	1.474186E-002	3.098794233
437	1.860441E-001	2.483029E-001	2.835749498
441	1.842425E-001	5.940359E-002	3.143455971
445	1.916302E-001	4.147369E-003	3.079905008
449	1.872489E-001	6.109774E-002	3.022954639
453	1.784941E-001	1.804637E-001	2.903588642
457	1.906284E-001	4.922526E-002	3.133277637
461	1.825171E-001	4.573519E-002	3.038317192
466	1.922691E-001	2.222102E-001	3.306262535
470	1.805780E-001	1.644421E-001	3.248494525
474	1.831682E-001	5.042551E-003	3.089094928
479	1.704585E-001	2.326475E-001	2.851404880
483	1.755864E-001	1.969808E-001	3.281033133
488	1.733043E-001	1.812275E-001	3.265279881
492	1.710073E-001	5.105577E-002	3.032996611
497	1.775934E-001	7.696820E-002	3.161020576
501	1.819270E-001	6.897919E-002	3.153031565
506	1.716335E-001	1.280254E-001	2.956026962
511	1.678457E-001	1.000207E-003	3.083052170
515	1.790140E-001	1.640221E-001	3.248074461
520	1.660515E-001	1.261633E-001	2.957889073
525	1.721393E-001	6.434311E-002	3.019709264
530	1.736217E-001	2.339645E-001	3.318016922
535	1.712139E-001	4.144983E-002	3.125502208
540	1.790930E-001	2.216902E-001	3.305742599
545	1.753301E-001	1.297666E-001	3.213819002
550	1.580971E-001	1.869104E-001	2.897142017
555	1.622406E-001	8.969016E-002	2.994362222
560	1.771696E-001	2.457416E-001	3.329794021
565	1.762007E-001	3.626332E-001	3.446685530
570	1.709238E-001	2.542241E-001	3.338276468
575	1.614281E-001	1.227858E-001	3.206838190
581	1.710392E-001	1.304471E-001	3.214499482
586	1.650657E-001	4.834655E-002	3.132398925
592	1.528908E-001	2.196990E-001	2.864353333
597	1.614640E-001	2.632409E-001	3.347293316
603	1.652777E-001	2.050518E-001	3.289104186
608	1.641722E-001	6.013810E-002	3.144190478
614	1.619298E-001	2.151588E-001	3.299211154
619	1.536958E-001	4.330884E-002	3.040743541
625	1.602584E-001	1.553542E-001	3.239406572
631	1.511300E-001	1.982839E-001	2.885768500
637	1.555455E-001	9.927343E-002	2.984778947
643	1.575656E-001	1.912199E-001	3.275272317
649	1.644922E-001	2.119545E-001	3.296006862
655	1.438005E-001	2.173122E-001	2.866740217
661	1.539326E-001	5.574538E-002	3.139797757
667	1.536636E-001	4.882756E-002	3.132879939
673	1.486369E-001	2.732365E-003	3.086784742
679	1.496850E-001	1.144278E-001	2.969624530
685	1.486209E-001	8.804446E-002	2.996007915
692	1.529199E-001	2.616302E-001	3.345682622
698	1.493746E-001	6.274480E-003	3.090326857
705	1.568292E-001	1.668815E-001	3.250933894
711	1.434506E-001	1.170103E-001	2.967042099
718	1.485292E-001	1.311774E-001	3.215229796
724	1.391232E-001	1.495897E-001	2.934462704
731	1.452768E-001	1.954396E-001	3.279491999
738	1.511573E-001	1.414079E-001	3.225460263
745	1.413163E-001	3.998153E-002	3.124033911
752	1.514309E-001	3.647929E-001	3.448845252
759	1.482219E-001	5.445933E-002	3.138511707
766	1.459518E-001	1.342212E-001	3.218273543
773	1.410092E-001	8.136276E-004	3.084866005
780	1.351062E-001	1.054572E-001	2.978595163
787	1.432627E-001	7.846519E-002	3.162517566
794	1.365178E-001	8.344468E-002	3.000607700
802	1.438706E-001	1.404471E-001	3.224499473
809	1.427912E-001	2.690478E-001	3.353100146
817	1.361442E-001	6.240171E-002	3.021650665
824	1.406003E-001	1.951872E-001	3.279239568
832	1.436105E-001	2.319994E-001	3.316051777
839	1.316164E-001	3.574287E-002	3.048309506
847	1.323551E-001	1.640206E-002	3.067650313
855	1.345778E-001	1.783521E-001	3.262404457
863	1.315089E-001	1.236264E-001	2.960425999
871	1.358775E-001	1.282073E-001	3.212259714
879	1.337613E-001	6.231486E-002	3.146367237
887	1.289620E-001	6.637887E-002	3.017673506
895	1.322098E-001	1.381754E-001	3.222227778
904	1.291066E-001	9.594722E-002	2.988105161
912	1.340187E-001	1.199545E-001	3.204006877
920	1.291650E-001	8.323232E-003	3.075729145
929	1.264999E-001	3.388870E-002	3.117941072
938	1.308874E-001	2.120019E-001	3.296054279
946	1.277300E-001	7.588739E-002	3.008164988
955	1.223630E-001	3.619602E-002	3.047856357
964	1.273863E-001	1.155779E-001	3.199630264
973	1.275739E-001	2.166357E-001	3.300688109
982	1.214061E-001	2.518791E-002	3.109240282
991	1.221998E-001	7.067116E-002	3.013381218
