N	MC est. error	MC actual error	Value
2442	3.368132E-002	3.266554E-002	3.108927
2443	3.355851E-002	2.411414E-002	3.117479
2444	3.329836E-002	5.749773E-003	3.135843
2445	3.390745E-002	5.120411E-002	3.090389
2446	3.285588E-002	2.439263E-002	3.165985
2447	3.321740E-002	1.421015E-003	3.140172
2448	3.278503E-002	2.834199E-002	3.169935
2449	3.386020E-002	4.971842E-002	3.091874
2450	3.367491E-002	3.628653E-002	3.105306
2451	3.332982E-002	1.144169E-002	3.130151
2452	3.395302E-002	5.839526E-002	3.083197
2453	3.296242E-002	1.372736E-002	3.155320
2454	3.271534E-002	3.037149E-002	3.171964
2455	3.241461E-002	5.026071E-002	3.191853
2456	3.232965E-002	5.547575E-002	3.197068
2457	3.341644E-002	2.071353E-002	3.120879
2458	3.308900E-002	2.426874E-003	3.144020
2459	3.420428E-002	8.181226E-002	3.059780
2460	3.278765E-002	2.263499E-002	3.164228
2461	3.282292E-002	1.972388E-002	3.161317
2462	3.366449E-002	4.167389E-002	3.099919
2463	3.272950E-002	2.527702E-002	3.166870
2464	3.299647E-002	6.134619E-003	3.147727
2465	3.332321E-002	1.786040E-002	3.123732
2466	3.271838E-002	2.466850E-002	3.166261
2467	3.309834E-002	2.557388E-003	3.139035
2468	3.411910E-002	8.000432E-002	3.061588
2469	3.336516E-002	2.292113E-002	3.118672
2470	3.241162E-002	4.383245E-002	3.185425
2471	3.302947E-002	4.551004E-004	3.142048
2472	3.328631E-002	1.861531E-002	3.122977
2473	3.277756E-002	1.732364E-002	3.158916
2474	3.257954E-002	3.059813E-002	3.172191
2475	3.244993E-002	3.901341E-002	3.180606
2476	3.260357E-002	2.803578E-002	3.169628
2477	3.296036E-002	2.533305E-003	3.144126
2478	3.251028E-002	3.354859E-002	3.175141
2479	3.254585E-002	3.065422E-002	3.172247
2480	3.190807E-002	7.292348E-002	3.214516
2481	3.327029E-002	2.188286E-002	3.119710
2482	3.314887E-002	1.347017E-002	3.128122
2483	3.261678E-002	2.393292E-002	3.165526
2484	3.303716E-002	6.326953E-003	3.135266
2485	3.273217E-002	1.494658E-002	3.156539
2486	3.237207E-002	3.942102E-002	3.181014
2487	3.304724E-002	8.500575E-003	3.133092
2488	3.353364E-002	4.512963E-002	3.096463
2489	3.259471E-002	2.273037E-002	3.164323
2490	3.348949E-002	4.279747E-002	3.098795
2491	3.341430E-002	3.761835E-002	3.103974
2492	3.218558E-002	4.941858E-002	3.191011
2493	3.297868E-002	6.414154E-003	3.135178
2494	3.359059E-002	5.257902E-002	3.089014
2495	3.227028E-002	4.237528E-002	3.183968
2496	3.232950E-002	3.789453E-002	3.179487
2497	3.319551E-002	2.425184E-002	3.117341
2498	3.175526E-002	7.538093E-002	3.216974
2499	3.308599E-002	1.714287E-002	3.124450
2500	3.335376E-002	3.759265E-002	3.104000
2501	3.279881E-002	2.749610E-003	3.144342
2502	3.272035E-002	7.887762E-003	3.149480
2503	3.225071E-002	4.018921E-002	3.181782
2504	3.347614E-002	4.894090E-002	3.092652
2505	3.203961E-002	5.361693E-002	3.195210
2506	3.253972E-002	1.882235E-002	3.160415
2507	3.275323E-002	3.201922E-003	3.144795
2508	3.324149E-002	3.313970E-002	3.108453
2509	3.333561E-002	4.075567E-002	3.100837
2510	3.164631E-002	7.753085E-002	3.219124
2511	3.279670E-002	1.807707E-003	3.139785
2512	3.254016E-002	1.605066E-002	3.157643
2513	3.248375E-002	1.956930E-002	3.161162
2514	3.313104E-002	2.782973E-002	3.113763
2515	3.281757E-002	5.210944E-003	3.136382
2516	3.295848E-002	1.599647E-002	3.125596
2517	3.266291E-002	5.010445E-003	3.146603
2518	3.265170E-002	5.349364E-003	3.146942
2519	3.294626E-002	1.654303E-002	3.125050
2520	3.267351E-002	2.851791E-003	3.144444
2521	3.261810E-002	6.364506E-003	3.147957
2522	3.353847E-002	6.308353E-002	3.078509
2523	3.294426E-002	1.832670E-002	3.123266
2524	3.180483E-002	6.125996E-002	3.202853
2525	3.304955E-002	2.713721E-002	3.114455
2526	3.222509E-002	3.180402E-002	3.173397
2527	3.263927E-002	2.055942E-003	3.143649
2528	3.293096E-002	1.975721E-002	3.121835
2529	3.300470E-002	2.573658E-002	3.115856
2530	3.183326E-002	5.682632E-002	3.198419
2531	3.333546E-002	5.190478E-002	3.089688
2532	3.204404E-002	4.166169E-002	3.183254
2533	3.182377E-002	5.619653E-002	3.197789
2534	3.294879E-002	2.399202E-002	3.117601
2535	3.312603E-002	3.784512E-002	3.103748
2536	3.197692E-002	4.452722E-002	3.186120
2537	3.291534E-002	2.294859E-002	3.118644
2538	3.273387E-002	9.992969E-003	3.131600
2539	3.261489E-002	1.773827E-003	3.139819
2540	3.298697E-002	2.978163E-002	3.111811
2541	3.224014E-002	2.409015E-002	3.165683
2542	3.251644E-002	3.962028E-003	3.145555
2543	3.206026E-002	3.575693E-002	3.177350
2544	3.144282E-002	7.696081E-002	3.218553
2545	3.199281E-002	3.954684E-002	3.181139
2546	3.163463E-002	6.343484E-002	3.205027
2547	3.143419E-002	7.631076E-002	3.217903
2548	3.179932E-002	5.149997E-002	3.193093
2549	3.235174E-002	1.258546E-002	3.154178
2550	3.304159E-002	3.884756E-002	3.102745
2551	3.230780E-002	1.481660E-002	3.156409
2552	3.312153E-002	4.598137E-002	3.095611
2553	3.258944E-002	6.457518E-003	3.135135
2554	3.276904E-002	2.021442E-002	3.121378
2555	3.252462E-002	2.649405E-003	3.138943
2556	3.276796E-002	2.109187E-002	3.120501
2557	3.304588E-002	4.264858E-002	3.098944
2558	3.249170E-002	1.639565E-003	3.139953
2559	3.288041E-002	3.100258E-002	3.110590
2560	3.297202E-002	3.846765E-002	3.103125
2561	3.230771E-002	1.030114E-002	3.151894
2562	3.229679E-002	1.063217E-002	3.152225
2563	3.226412E-002	1.252362E-002	3.154116
2564	3.251141E-002	5.867225E-003	3.135725
2565	3.285561E-002	3.204100E-002	3.109552
2566	3.302772E-002	4.572360E-002	3.095869
2567	3.140765E-002	6.993832E-002	3.211531
2568	3.278159E-002	2.788549E-002	3.113707
2569	3.222059E-002	1.294218E-002	3.154535
2570	3.250946E-002	8.518724E-003	3.133074
2571	3.241381E-002	1.958270E-003	3.139634
2572	3.203501E-002	2.481481E-002	3.166407
2573	3.232806E-002	3.374311E-003	3.144967
2574	3.259173E-002	1.649553E-002	3.125097
2575	3.209026E-002	1.957239E-002	3.161165
2576	3.269422E-002	2.513303E-002	3.116460
2577	3.209046E-002	1.867122E-002	3.160264
2578	3.303622E-002	5.237621E-002	3.089216
2579	3.266158E-002	2.410526E-002	3.117487
2580	3.152284E-002	5.685696E-002	3.198450
2581	3.211241E-002	1.532327E-002	3.156916
2582	3.235808E-002	2.940446E-003	3.138652
2583	3.286196E-002	4.132165E-002	3.100271
2584	3.275023E-002	3.323352E-002	3.108359
2585	3.230455E-002	3.934273E-004	3.141199
2586	3.229376E-002	6.133108E-005	3.141531
2587	3.224062E-002	3.362893E-003	3.144956
2588	3.203712E-002	1.760364E-002	3.159196
2589	3.244995E-002	1.297156E-002	3.128621
2590	3.214451E-002	8.986497E-003	3.150579
2591	3.219760E-002	4.682916E-003	3.146276
2592	3.229238E-002	2.703765E-003	3.138889
2593	3.103738E-002	8.401475E-002	3.225607
2594	3.216541E-002	5.670261E-003	3.147263
2595	3.170001E-002	3.836881E-002	3.179961
2596	3.270109E-002	3.527524E-002	3.106317
2597	3.115848E-002	7.442583E-002	3.216018
2598	3.188691E-002	2.391928E-002	3.165512
2599	3.200543E-002	1.500604E-002	3.156599
2600	3.103399E-002	8.148427E-002	3.223077
2601	3.313656E-002	7.200403E-002	3.069589
2602	3.173556E-002	3.288851E-002	3.174481
2603	3.256540E-002	2.826188E-002	3.113331
2604	3.216388E-002	1.264489E-003	3.142857
2605	3.183411E-002	2.462616E-002	3.166219
2606	3.178023E-002	2.801594E-002	3.169609
2607	3.183446E-002	2.373147E-002	3.165324
2608	3.245115E-002	2.196075E-002	3.119632
2609	3.219408E-002	3.225463E-003	3.138367
2610	3.274922E-002	4.580721E-002	3.095785
2611	3.231720E-002	1.328932E-002	3.128303
2612	3.186731E-002	1.920367E-002	3.160796
2613	3.206815E-002	4.216761E-003	3.145809
2614	3.154307E-002	4.126886E-002	3.182862
2615	3.194180E-002	1.251825E-002	3.154111
2616	3.160948E-002	3.577738E-002	3.177370
2617	3.204668E-002	3.993896E-003	3.145587
2618	3.278078E-002	5.221145E-002	3.089381
2619	3.243479E-002	2.589964E-002	3.115693
2620	3.226243E-002	1.334838E-002	3.128244
2621	3.109049E-002	6.939552E-002	3.210988
2622	3.207697E-002	4.789999E-004	3.141114
2623	3.212831E-002	4.726470E-003	3.136866
2624	3.178337E-002	1.999271E-002	3.161585
2625	3.131767E-002	5.231211E-002	3.193905
2626	3.163426E-002	2.977064E-002	3.171363
2627	3.210665E-002	4.934869E-003	3.136658
2628	3.209612E-002	4.606352E-003	3.136986
2629	3.187841E-002	1.093683E-002	3.152529
2630	3.188881E-002	9.738145E-003	3.151331
2631	3.082720E-002	8.303676E-002	3.224629
2632	3.229720E-002	2.153186E-002	3.120061
2633	3.275596E-002	5.765798E-002	3.083935
2634	3.247436E-002	3.604975E-002	3.105543
2635	3.290506E-002	7.062491E-002	3.070968
2636	3.142212E-002	4.050143E-002	3.182094
2637	3.228453E-002	2.289717E-002	3.118695
2638	3.225407E-002	2.104679E-002	3.120546
