0 0
3,80071044604633E-05 0
0,00783314723284204 4,80619073128752E-07
0,00786642973525566 4,8677156692363E-07
0,007899712266468 4,92976349153712E-07
0,00793299482660191 4,99233641185926E-07
0,00796627741578026 5,05543664389132E-07
0,00799956003412593 5,11906640134126E-07
0,00803284268176178 5,18322789793649E-07
0,00806612535881069 5,24792334742396E-07
0,00809940806539552 5,31315496357022E-07
0,00813269080163914 5,37892496016153E-07
0,00816597356766443 5,44523555100393E-07
0,00819925636359425 5,5120889499233E-07
0,00823253918955147 5,57948737076549E-07
0,00826582204565897 5,64743302739636E-07
0,00829910493203961 5,71592813370187E-07
0,00833238784881626 5,78497490358817E-07
0,0083656707961118 5,85457555098169E-07
0,0083989537740491 5,92473228982919E-07
0,00843223678275102 5,99544733409788E-07
0,00846551982234044 6,06672289777547E-07
0,00849880289294023 6,13856119487028E-07
0,00853208599467326 6,21096443941129E-07
0,00856536912766241 6,28393484544826E-07
0,00859865229203053 6,35747462705178E-07
0,00863193548790052 6,43158599831336E-07
0,00866521871539522 6,5062711733455E-07
0,00869850197463753 6,58153236628183E-07
0,00873178526575031 6,6573717912771E-07
0,00876506858885643 6,73379166250733E-07
0,00879835194407877 6,81079419416988E-07
0,0088316353315402 6,88838160048351E-07
0,00886491875136358 6,96655609568848E-07
0,0088982022036718 7,04531989404662E-07
0,00893148568858773 7,12467520984142E-07
0,00896476920623423 7,20462425737811E-07
0,00899805275673419 7,28516925098375E-07
0,00903133634021047 7,3663124050073E-07
0,00906461995678595 7,4480559338197E-07
0,0090979036065835 7,53040205181395E-07
0,009131187289726 7,61335297340522E-07
0,00916447100633632 7,69691091303089E-07
0,00919775475653733 7,78107808515066E-07
0,00923103854045191 7,86585670424662E-07
0,00926432235820293 7,95124898482334E-07
0,00929760620991327 8,03725714140796E-07
0,0093308900957058 8,12388338855022E-07
0,0093641740157034 8,21112994082262E-07
0,00939745797002893 8,29899901282045E-07
0,00943074195880528 8,38749281916188E-07
0,00946402598215532 8,47661357448805E-07
0,00949731004020193 8,56636349346314E-07
0,00953059413306797 8,65674479077446E-07
0,00956387826087633 8,74775968113254E-07
0,00959716242374989 8,83941037927121E-07
0,00963044662181151 8,93169909994766E-07
0,00966373085518407 9,02462805794253E-07
0,00969701512399045 9,11819946806002E-07
0,00973029942835353 9,21241554512793E-07
0,00976358376839618 9,30727850399777E-07
0,00979686814424128 9,40279055954485E-07
0,0098301525560117 9,49895392666831E-07
0,00986343700383032 9,59577082029127E-07
0,00989672148782003 9,69324345536085E-07
0,00993000600810368 9,7913740468483E-07
0,00996329056480418 9,89016480974907E-07
0,00999657515804438 9,98961795908286E-07
0,0100298597879472 1,00897357098937E-06
0,0100631444546354 1,01905202772502E-06
0,010096429158232 1,02919738762453E-06
0,0101297138988598 1,03940987219966E-06
0,0101629986766417 1,04968970296465E-06
0,0101962834917006 1,0600371014362E-06
0,0102295683441594 1,07045228913351E-06
0,0102628532341409 1,08093548757825E-06
0,010296138161768 1,09148691829462E-06
0,0103294231271635 1,10210680280931E-06
0,0103627081304505 1,11279536265152E-06
0,0103959931717517 1,12355281935301E-06
0,01042927825119 1,13437939444804E-06
0,0104625633688884 1,14527530947343E-06
0,0104958485249696 1,15624078596853E-06
0,0105291337195566 1,16727604547527E-06
0,0105624189527723 1,17838130953813E-06
0,0105957042247394 1,18955679970419E-06
0,010628989535581 1,20080273752308E-06
0,0106622748854199 1,21211934454704E-06
0,0106955602743789 1,22350684233091E-06
0,010728845702581 1,23496545243213E-06
0,0107621311701491 1,24649539641076E-06
0,0107954166772059 1,25809689582947E-06
0,0108287022238744 1,26977017225359E-06
0,0108619878102775 1,28151544725106E-06
0,0108952734365381 1,2933329423925E-06
0,010928559102779 1,30522287925115E-06
0,0109618448091231 1,31718547940293E-06
0,0109951305556933 1,32922096442646E-06
0,0110284163426125 1,34132955590299E-06
0,0110617021700036 1,35351147541651E-06
0,0110949880379894 1,36576694455366E-06
0,0111282739466928 1,37809618490381E-06
0,0111615598962368 1,39049941805906E-06
0,0111948458867442 1,4029768656142E-06
